device_id,date,stationary,walking,running,automotive,cycling,unknown
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-18,467,221,2,187,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-19,741,182,0,188,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-20,780,298,6,409,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-21,943,462,1,500,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-22,836,321,1,334,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-23,943,258,2,298,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-24,856,268,1,532,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-25,815,280,0,5,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-26,792,272,0,358,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-27,1014,307,0,382,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-28,848,158,4,291,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-29,919,411,0,163,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-30,581,310,2,280,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-31,671,291,0,468,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-01,745,276,0,212,7,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-02,749,208,3,252,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-03,759,194,2,302,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-04,884,216,0,256,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-05,926,226,1,324,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-06,633,271,0,230,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-07,711,174,0,447,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-08,785,276,0,177,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-09,948,264,0,308,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-10,730,277,1,218,0,0
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-11,731,164,2,130,0,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-19,521,26,0,148,0,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-20,748,37,1,220,2,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-21,917,139,0,188,3,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-22,1156,35,1,0,0,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-23,1111,18,0,0,0,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-24,1025,25,0,28,3,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-25,1251,37,1,111,4,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-26,1152,31,0,42,0,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-27,1745,34,1,0,0,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-28,869,33,0,154,1,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-29,1129,84,1,112,4,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-30,1442,40,0,113,1,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-31,1027,47,1,125,1,0
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-01,925,7,0,0,0,0
